,commodity,n_markets,mean_modal,min_modal,max_modal,std_modal,price_gap,price_gap_ratio,fragmentation_rank
38,Mashrooms,54,10722.388888888889,2000.0,30000.0,8879.92692137333,28000.0,2.6113583726677825,39
39,Pomegranate,132,10885.912408759124,2700.0,30000.0,5815.604522563377,27300.0,2.507828372570187,40
40,Orange,60,7458.730158730159,1500.0,20000.0,4581.973265598178,18500.0,2.4803149606299213,41
41,Mint(Pudina),158,4164.006329113924,6.0,10000.0,1391.091284475295,9994.0,2.400092413434603,42
42,Leafy Vegetable,10,2484.0,40.0,6000.0,1689.1496874660536,5960.0,2.399355877616747,43
43,Lime,63,8033.650793650793,2000.0,20000.0,5766.733100316124,18000.0,2.2405753576226983,44
44,Lemon,260,10037.423076923076,667.0,23000.0,4787.794205991407,22333.0,2.2249734646879182,45
45,Ridgeguard(Tori),230,3346.774891774892,600.0,8000.0,1172.5862762257298,7400.0,2.2110838760582325,46
46,Bottle gourd,386,1730.1866321243524,400.0,4200.0,670.9691852235369,3800.0,2.1962948559683966,47
47,Green Avare (W),150,5786.0,2600.0,15000.0,2010.7439606194978,12400.0,2.1431040442447284,48
48,Mousambi(Sweet Lime),114,4040.344827586207,1750.0,10000.0,1556.2147113705287,8250.0,2.0419049244687204,49
49,Rose(Local),27,11370.37037037037,3000.0,25000.0,5189.843247582044,22000.0,1.9348534201954397,50
50,Little gourd (Kundru),37,3096.4864864864867,70.0,6000.0,1063.2163368661052,5930.0,1.9150737540368332,51
51,Tender Coconut,65,3073.846153846154,600.0,6250.0,917.7123260921904,5650.0,1.838088088088088,52
52,Pointed gourd (Parval),61,3710.1639344262294,1400.0,8200.0,1120.356329928532,6800.0,1.8328031106398022,53
53,Papaya,208,3254.4158653846152,40.0,6000.0,870.5556870412291,5960.0,1.831357837021739,54
54,Squash(Chappal Kadoo),9,1422.2222222222222,900.0,3500.0,804.3285674675769,2600.0,1.828125,55
55,Water Melon,37,2255.4054054054054,400.0,4500.0,943.0140643307105,4100.0,1.8178550029958058,56
56,Peas Wet,24,10270.833333333334,4000.0,22000.0,4323.794545924022,18000.0,1.7525354969574036,57
57,Mango,12,9255.0,1860.0,18000.0,4178.94397273674,16140.0,1.7439222042139384,58
58,Raddish,253,2876.905138339921,17.0,5000.0,987.0766034732491,4983.0,1.7320696235661674,59
59,Sponge gourd,44,1863.5227272727273,800.0,4000.0,580.1058238919163,3200.0,1.7171778766997987,60
60,Green Peas,25,15794.84,3200.0,29000.0,8372.862103645723,25800.0,1.633444846544821,61
61,Karbuja(Musk Melon),12,4425.0,800.0,8000.0,2179.710155877695,7200.0,1.6271186440677967,62
62,Arecanut(Betelnut/Supari),9,31309.0,2600.0,52000.0,14062.783188259711,49400.0,1.5778210738126417,63
63,Betal Leaves,20,12402.5,3000.0,22000.0,6153.999020748087,19000.0,1.5319492037895586,64
64,Chilly Capsicum,8,3331.25,1000.0,6000.0,1361.9674581805755,5000.0,1.5009380863039399,65
65,Amla(Nelli Kai),80,6676.25,2000.0,12000.0,1543.5651442133494,10000.0,1.4978468451600824,66
66,Guava,127,5469.291338582677,1850.0,10000.0,1625.7116542308975,8150.0,1.4901382090411748,67
67,Tinda,11,3240.909090909091,1450.0,6200.0,1483.3775955262001,4750.0,1.4656381486676016,68
68,Onion Green,168,4771.0297619047615,8.0,7000.0,1136.3024151825266,6992.0,1.4655117131796196,69
69,Knool Khol,78,4121.794871794872,1000.0,7000.0,1392.3396581329298,6000.0,1.4556765163297045,70
70,Fish,8,20381.81818181818,4300.0,33000.0,9242.81539162372,28700.0,1.4081177520071366,71
71,Peas(Dry),11,5427.5,3400.0,11000.0,1965.0277583049788,7600.0,1.4002763703362506,72
72,Elephant Yam (Suran),115,7138.278260869565,52.0,10000.0,1502.536752902074,9948.0,1.3936133667599786,73
73,Chikoos(Sapota),43,4162.790697674419,2200.0,8000.0,1088.527457888901,5800.0,1.3932960893854747,74
74,Round gourd,7,1687.142857142857,800.0,3100.0,840.133209392302,2300.0,1.363251481795089,75
75,Peas cod,8,10343.75,4000.0,18000.0,4405.632555523181,14000.0,1.353474320241692,76
76,Grapes,37,10096.052631578947,2500.0,16100.0,3174.05831063596,13600.0,1.3470611234197838,77
77,Sweet Pumpkin,23,1560.8695652173913,500.0,2600.0,556.1549248143515,2100.0,1.3454038997214486,78
78,Field Pea,10,6750.0,3000.0,12000.0,3500.0,9000.0,1.3333333333333333,79
79,Yam (Ratalu),73,7975.342465753424,3400.0,14000.0,2181.3464764985697,10600.0,1.3290965304019238,80
80,Ground Nut Seed,6,5192.5,125.0,7000.0,2550.224990074405,6875.0,1.3240250361097736,81
81,Custard Apple (Sharifa),37,4554.054054054054,2000.0,8000.0,1602.0116858005254,6000.0,1.317507418397626,82
82,Guar,19,4773.8421052631575,2800.0,9000.0,1574.8546410227445,6200.0,1.2987442532220546,83
83,Jowar(Sorghum),39,2782.7948717948716,1800.0,5400.0,758.1894007050156,3600.0,1.2936634447935575,84
84,Rajgir,6,5352.666666666667,6.0,6715.0,2643.204242329122,6709.0,1.2533939469423339,85
85,Black Gram (Urd Beans)(Whole),74,7611.554054054054,4296.0,13800.0,1632.348246670421,9504.0,1.2486280636656577,86
86,Green Gram Dal (Moong Dal),29,9334.827586206897,2100.0,13500.0,2432.5054407363255,11400.0,1.2212330538214324,87
